archive;isilcode;name;search;homepage;archiefwiki;twitter
aal;;Stadsarchief Aalst;https://www.openarch.nl/aal;https://madeinaalst.be/;;
den;;Erfgoedcel Denderland;https://www.openarch.nl/den;http://madeindenderland.be/;;
isg;NL-AsdIISG;Internationaal instituut voor sociale geschiedenis;https://www.openarch.nl/isg;https://iisg.amsterdam/;https://archiefwiki.pleio.nl/wiki/Internationaal_Instituut_voor_Sociale_Geschiedenis;https://twitter.com/iisg_amsterdam
abs;;Amsab-Instituut voor Sociale Geschiedenis;https://www.openarch.nl/abs;https://www.amsab.be/;;https://twitter.com/amsabISG
ect;;Stichting Erfgoedcentrum Tongerlohuys;https://www.openarch.nl/ect;https://www.tongerlohuys.nl/;;
cdr;;Heemkundekring Carel de Roy;https://www.openarch.nl/cdr;https://www.alphenserfgoed.nl/;;
hwr;;Heemkunde Werkgroep Reusel;https://www.openarch.nl/hwr;https://heemkundereusel.nl/;;
hvl;;Heemkundekring 't Hof van Liessent;https://www.openarch.nl/hvl;https://www.hofvanliessent.nl/;;
phm;;Princenhaags museum;https://www.openarch.nl/phm;https://princenhaagsmuseum.nl/;;
dhn;;Heemkundekring De Heerlijckheijd Nispen;https://www.openarch.nl/dhn;https://www.heemkundenispen.nl/;;
vum;;Vughts Museum;https://www.openarch.nl/vum;https://www.vughtsmuseum.nl/;;
tos;;Museum 't Oude Slot;https://www.openarch.nl/tos;https://www.museumoudeslot.nl/;;
seg;;Stichting Erfgoed Gennep;https://www.openarch.nl/seg;https://www.stichtingerfgoedgennep.nl/;;
odb;;Heemkundekring Op de Beek;https://www.openarch.nl/odb;https://hk-opdebeek.nl/;;
bin;;Historische Vereniging Binnenwaard;https://www.openarch.nl/bin;https://www.binnenwaard.nl/;;
voa;;Historische Vereniging Oud Akersloot;https://www.openarch.nl/voa;https://www.oudakersloot.nl/;;
ihc;;Indisch Herinneringscentrum;https://www.openarch.nl/ihc;https://www.indischherinneringscentrum.nl/;;
